"Month","DayOfTheMonth","DayOfTheYear","DayOfTheWeek","Hour","Minute","OverallLoad1","OverallLoad2","OverallLoad3","OverallLoad4","OverallLoad5","OverallLoad6","OverallLoad7","OverallLoad8","OverallLoad9","OverallLoad10","OverallLoad11","OverallLoad12","AirLoad1","AirLoad2","AirLoad3","AirLoad4","AirLoad5","AirLoad6","AirLoad7","AirLoad8","AirLoad9","AirLoad10","AirLoad11","AirLoad12","isHollidays","Forecast"
10,19,293,6,0,30,0.12,0.12,0.07,0.11,0.1,0.14,0.11,0.1,0.11,0.1,0.13,0.1,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.11
3,4,64,1,21,30,0.1,0.1,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.11,0.1,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.11
6,23,175,7,21,15,0.07,0.14,0.07,0.15,0.07,0.15,0.07,0.14,0.07,0.15,0.07,0.16,0.01,0.01,0,0.02,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.07
1,23,23,4,2,45,0.13,0.15,0.12,0.13,0.13,0.13,0.09,0.15,0.12,0.14,0.13,0.13,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.13
5,11,132,6,4,30,0.1,0.11,0.11,0.12,0.11,0.11,0.1,0.12,0.11,0.11,0.1,0.13,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0.1
4,10,101,3,6,0,0.11,0.11,0.1,0.1,0.52,0.68,0.69,0.9,0.92,0.89,0.68,0.44,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.1
1,30,30,2,17,30,0.43,0.41,0.42,0.42,0.4,0.41,0.39,0.48,0.55,0.65,0.67,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39
3,7,67,4,7,0,0.11,0.11,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.11,0.11,0.11,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.1
4,13,104,6,7,45,0.12,0.11,0.1,0.11,0.12,0.1,0.11,0.11,0.13,0.12,0.24,0.28,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.28
3,9,69,6,19,0,0.42,0.41,0.4,0.39,0.38,0.41,0.47,0.46,0.33,0.33,0.34,0.33,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.33
9,23,267,1,15,45,0.06,0.1,0.11,0.12,0.1,0.11,0.09,0.12,0.11,0.1,0.1,0.07,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0.11
4,5,96,5,19,45,0.45,0.29,0.1,0.12,0.1,0.11,0.1,0.12,0.1,0.11,0.1,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.11
1,4,4,6,12,30,0.25,0.26,0.26,0.23,0.23,0.24,0.23,0.18,0.26,0.25,0.28,0.19,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.18
12,22,357,7,9,30,0.1,0.07,0.1,0.11,0.09,0.12,0.11,0.11,0.1,0.1,0.1,0.07,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.12
9,25,269,3,1,30,0.1,0.13,0.11,0.1,0.07,0.1,0.12,0.11,0.1,0.1,0.11,0.11,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0.12
10,11,285,5,16,15,0,0,0,0,0,0.31,0.31,0.3,0.3,0.27,0.23,0.12,0,0,0,0,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0.16
1,20,20,1,23,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,11,255,3,11,15,0.12,0.1,0.1,0.1,0.12,0.1,0.08,0.1,0.11,0.11,0.11,0.1,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,1,0.11
3,27,87,3,17,0,0.51,0.47,0.47,0.51,0.57,0.41,0.61,0.54,0.5,0.4,0.38,0.39,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0.4
12,13,348,5,20,30,0.57,0.57,0.47,0.18,0.11,0.09,0.11,0.12,0.1,0.13,0.12,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.11
8,11,224,7,22,45,0.1,0.1,0.11,0.12,0.11,0.11,0.11,0.06,0.14,0.1,0.11,0.11,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,1,0.1
8,2,215,5,5,0,0.12,0.1,0.1,0.11,0.1,0.12,0.1,0.23,0.42,0.62,0.57,0.53,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,1,0.55
2,5,36,1,11,0,0.11,0.12,0.1,0.12,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.1
6,4,156,2,11,0,0.14,0.15,0.15,0.12,0.08,0.12,0.14,0.12,0.13,0.12,0.13,0.15,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.18
9,22,266,7,19,45,0.1,0.12,0.12,0.11,0.11,0.07,0.11,0.12,0.12,0.1,0.11,0.09,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0.13
6,21,173,5,18,0,1.68,0.79,1.65,0.98,1.73,0.75,1.5,0.74,1.5,0.78,0.85,0.07,1.1,0.51,1.19,0.7,1.18,0.54,1.09,0.53,1.08,0.56,0.53,0.01,0,0.14
10,17,291,4,4,45,0.12,0.11,0.1,0.11,0.11,0.12,0.07,0.1,0.11,0.1,0.13,0.11,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.1
10,23,297,3,14,30,0.52,0.32,0.29,0.26,0.33,0.4,0.38,0.52,0.31,0.26,0.28,0.25,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.26
8,14,227,3,19,30,0.06,0.1,0.11,0.11,0.1,0.1,0.1,0.12,0.1,0.07,0.09,0.11,0,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0.01,1,0.1
4,4,95,4,1,15,0.1,0.11,0.11,0.11,0.09,0.11,0.1,0.11,0.09,0.11,0.11,0.1,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.1
10,17,291,4,11,0,0.59,0.44,0.27,0.54,0.37,0.53,0.39,0.4,0.43,0.55,0.52,0.52,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.66
3,1,61,5,22,15,0.11,0.1,0.11,0.1,0.12,0.1,0.11,0.1,0.11,0.11,0.1,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.11
8,31,244,6,12,45,1.31,1.77,1.81,1.7,1.61,1.44,0.76,0.15,0.11,0.15,0.16,0.17,1.07,1.38,1.42,1.32,1.25,1.2,0.51,0.01,0.01,0,0.01,0.01,1,0.25
6,21,173,5,8,0,0.69,0.38,0.76,0.42,0.91,0.33,0.4,1.48,0,1.17,0,0.92,0.01,0.01,0.01,0.01,0.01,0,0.02,1.3,1.94,0.92,1.61,0.64,0,0
1,8,8,3,22,45,0.13,0.07,0.12,0.11,0.12,0.12,0.13,0.12,0.12,0.12,0.11,0.09,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.13
11,3,308,7,8,0,0.1,0.1,0.1,0.07,0.11,0.12,0.09,0.11,0.09,0.1,0.12,0.11,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0.1
12,28,363,6,5,30,0.1,0.1,0.1,0.13,0.1,0.1,0.11,0.1,0.1,0.08,0.11,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.1
1,9,9,4,22,30,0.11,0.12,0.11,0.11,0.11,0.1,0.12,0.12,0.11,0.12,0.12,0.14,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0.11
11,23,328,6,14,15,0.43,0.29,0.44,0.32,0.22,0.18,0.18,0.16,0.18,0.39,0.42,0.4,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.43
1,19,19,7,3,45,0.1,0.12,0.12,0.12,0.13,0.13,0.13,0.12,0.13,0.12,0.08,0.14,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.13
7,24,206,3,14,45,1.17,1.22,0.75,0.96,1.31,1.22,1.66,1.21,1.67,1.31,1.4,1.12,0.91,1,0.59,0.73,1.03,0.79,1.13,0.71,1.15,0.94,1.02,0.85,0,1.22
1,11,11,6,5,45,0.08,0.11,0.12,0.11,0.13,0.11,0.12,0.11,0.11,0.12,0.09,0.11,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.12
3,15,75,5,13,45,0.53,0.45,0.44,0.45,0.44,0.42,0.44,0.48,0.27,0.34,0.29,0.43,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.42
6,19,171,3,17,15,0.28,0.5,0.19,0.4,0.2,0.36,0.17,0.36,0.16,0.18,0.09,0.15,0.01,0.01,0.01,0.01,0,0.02,0,0.01,0.01,0.01,0.01,0.01,0,0.06
9,13,257,5,19,30,0.43,0.2,0.12,0.12,0.08,0.18,0.21,0.21,0.21,0.21,0.15,0.11,0.01,0.01,0,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.01,0,0.11
12,7,342,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,27,148,1,11,45,0.11,0.1,0.09,0.1,0.11,0.1,0.09,0.1,0.12,0.1,0.1,0.09,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0.12
3,6,66,3,4,45,0.11,0.11,0.1,0.11,0.1,0.12,0.1,0.1,0.1,0.11,0.11,0.1,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.11
12,15,350,7,15,0,0.11,0.13,0.12,0.1,0.07,0.1,0.11,0.11,0.12,0.1,0.11,0.1,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.11
4,7,98,7,16,45,0.11,0.1,0.11,0.1,0.12,0.1,0.1,0.1,0.12,0.1,0.11,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.12
2,17,48,6,13,0,0.55,0.54,0.53,0.54,0.54,0.53,0.52,0.55,0.52,0.51,0.5,0.51,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.34
6,24,176,1,8,30,0.14,0.07,0.14,0.07,0.15,0.06,0.15,0.07,0.14,0.07,0.14,0.07,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.02,0,0.01,0.01,0,0.15
5,25,146,6,9,45,0.1,0.11,0.16,0.2,0.23,0.24,0.23,0.24,0.45,0.46,0.47,0.45,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0.45
5,3,124,5,16,30,0.11,0.15,0.14,0.11,0.12,0.11,0.12,0.11,0.11,0.11,0.09,0.1,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.1
9,13,257,5,23,15,0.13,0.06,0.12,0.1,0.11,0.13,0.11,0.11,0.1,0.11,0.12,0.11,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.07
10,25,299,5,6,30,0.1,0.12,0.38,0.53,0.55,0.55,0.55,0.37,0.51,0.41,0.1,0.21,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.29
6,28,180,5,23,45,0.08,0.14,0.08,0.13,0.08,0.14,0.07,0.15,0.07,0.14,0.08,0.13,0.01,0.01,0,0.02,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.07
12,14,349,6,11,30,0.59,0.56,0.58,0.58,0.37,0.56,0.55,0.53,0.46,0.42,0.42,0.44,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.42
5,2,123,4,10,30,0.25,0.3,0.37,0.31,0.32,0.29,0.28,0.29,0.29,0.27,0.29,0.3,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.28
9,12,256,4,6,0,0.1,0.1,0.11,0.12,0.1,0.1,0.1,0.12,0.11,0.1,0.12,0.46,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.27
6,8,160,6,12,30,1.2,1.32,1.21,1.09,1.06,1.03,1.11,0.82,1.03,0.8,1.03,1.11,0.85,0.98,0.96,0.86,0.83,0.83,1,0.71,0.91,0.7,0.89,0.79,0,0.85
1,12,12,7,19,15,0.06,0.11,0.1,0.1,0.1,0.1,0.09,0.12,0.09,0.1,0.07,0.1,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.09
10,8,282,2,9,30,0.12,0.24,0.22,0.46,0.4,0.39,0.38,0.36,0.44,0.49,0.33,0.24,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.25
8,19,232,1,10,45,0.07,0.12,0.11,0.1,0.1,0.11,0.12,0.1,0.07,0.1,0.1,0.13,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,1,0.1
11,4,309,1,11,30,0.11,0.11,0.1,0.1,0.1,0.1,0.12,0.07,0.1,0.1,0.11,0.1,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.13
11,27,332,3,15,45,0.7,0.73,0.72,0.43,0.56,0.58,0.61,0.61,0.62,0.68,0.65,0.63,0,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.62
10,11,285,5,15,0,0.26,0.16,0.39,0.54,0.4,0,0,0,0,0,0.31,0.31,0.01,0,0.01,0.01,0,0,0,0,0,0.04,0.01,0.01,0,0.3
7,20,202,6,0,45,0.08,0.1,0.12,0.11,0.1,0.1,0.1,0.12,0.1,0.1,0.11,0.09,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.09
1,2,2,4,21,45,0.11,0.11,0.07,0.12,0.11,0.1,0.1,0.1,0.11,0.13,0.11,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.06
8,7,220,3,7,30,0.67,0.7,0.79,0.55,0.42,0.37,0.32,0.31,0.2,0.3,0.32,0.33,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,0.36
11,26,331,2,12,15,0.6,0.5,0.31,0.47,0.47,0.46,0.46,0.43,0.49,0.44,0.47,0.45,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.35
9,2,246,1,1,0,0.13,0.1,0.11,0.1,0.12,0.11,0.07,0.1,0.11,0.12,0.1,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.1
8,27,240,2,2,30,0.11,0.11,0.09,0.1,0.1,0.1,0.12,0.12,0.1,0.11,0.07,0.11,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,1,0.12
2,10,41,6,12,15,0.3,0.36,0.31,0.29,0.32,0.29,0.29,0.3,0.3,0.33,0.43,0.22,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.17
4,26,117,5,5,45,0.1,0.1,0.1,0.11,0.1,0.38,0.96,1,1.01,1.01,0.96,0.62,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.25
1,14,14,2,13,45,0.23,0.35,0.36,0.55,0.55,0.7,0.64,0.64,0.73,0.74,0.48,0.71,0,0.01,0.01,0.01,0.01,0.22,0.29,0.29,0.28,0.29,0.19,0.28,0,0.73
1,5,5,7,19,45,0.12,0.08,0.11,0.11,0.12,0.1,0.13,0.11,0.12,0.11,0.1,0.07,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0.12
1,23,23,4,22,45,0.26,0.26,0.28,0.27,0.26,0.08,0.14,0.14,0.15,0.14,0.13,0.14,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.14
10,13,287,7,0,45,0.11,0.1,0.11,0.12,0.12,0.1,0.08,0.1,0.11,0.11,0.11,0.1,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.11
9,18,262,3,22,0,0.12,0.1,0.11,0.1,0.12,0.1,0.08,0.1,0.11,0.12,0.12,0.1,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0,0.11
4,23,114,2,11,30,0.28,0.3,0.19,0.31,0.28,0.3,0.3,0.29,0.27,0.3,0.34,0.34,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.17
8,24,237,6,13,15,1.83,2.06,1.69,1.66,0.97,1.51,1.15,1.66,1.3,1.67,1.51,1.38,1.45,1.7,1.38,1.52,0.87,1.38,1.03,1.53,1.09,1.41,1.25,1.17,1,0.95
8,13,226,2,8,30,0.11,1.21,2.66,2.72,2.56,1.9,1.33,2.16,1.65,2.11,1.64,1.64,0,1.03,2.52,2.47,2.3,1.72,1.19,1.97,1.46,1.9,1.46,1.46,1,2.01
2,15,46,4,22,15,0.44,0.45,0.44,0.12,0.09,0.1,0.1,0.1,0.09,0.1,0.1,0.11,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0.09
6,5,157,3,12,0,0.39,0.35,0.29,0.29,0.17,0.26,0.26,0.28,0.27,0.13,0.13,0.15,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0.16
11,30,335,6,23,45,0.1,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.12,0.12,0.08,0.1,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.12
6,11,163,2,21,45,0.1,0.11,0.09,0.1,0.11,0.11,0.09,0.11,0.09,0.13,0.1,0.11,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0.09
7,24,206,3,17,15,1.4,1.12,1.22,1.06,0.72,0.92,1.19,0.93,0.86,1.21,0.84,0.11,1.02,0.85,0.98,0.83,0.57,0.69,0.97,0.71,0.66,1.01,0.63,0.01,0,0.11
3,29,89,5,21,30,0.11,0.1,0.11,0.09,0.11,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.11
4,4,95,4,18,45,0.73,0.55,0.46,0.46,0.41,0.34,0.32,0.32,0.32,0.34,0.31,0.32,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.33
8,3,216,6,17,15,1.42,0.98,1.12,1.28,0.94,1.08,1.2,0.86,0.81,1.03,0.51,0.73,1.19,0.76,0.9,1.07,0.72,0.88,1.03,0.73,0.71,0.9,0.46,0.63,1,0.1
6,12,164,3,6,30,0.12,0.16,0.31,0.48,0.5,0.51,0.51,0.48,0.48,0.31,0.1,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.17
8,30,243,5,13,0,1.64,1.36,1.46,0.61,0.65,0.68,0.42,0.58,0.63,0.76,0.51,0.31,1.27,0.98,1.07,0.01,0,0.01,0.01,0,0.01,0.01,0.01,0.01,1,0.31
8,12,225,1,10,0,0.1,0.11,0.1,0.11,0.08,0.11,0.1,0.11,0.09,0.13,0.11,0.1,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,1,0.07
3,18,78,1,0,30,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.12,0.11,0.12,0.12,0.1,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.12
5,7,128,2,18,0,0.26,0.26,0.27,0.25,0.24,0.17,0.12,0.11,0.11,0.12,0.12,0.1,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0.12
1,30,30,2,5,0,0.09,0.09,0.1,0.11,0.09,0.07,0.09,0.1,0.1,0.09,0.1,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
12,21,356,6,2,15,0.11,0.12,0.11,0.11,0.13,0.12,0.11,0.07,0.11,0.12,0.13,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.11
6,14,166,5,7,15,0.69,0.69,0.59,0.6,0.53,0.42,0.22,0.11,0.11,0.11,0.11,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.11
12,28,363,6,9,15,0.11,0.11,0.11,0.1,0.07,0.1,0.1,0.12,0.11,0.1,0.1,0.1,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.11
7,22,204,1,14,0,0.11,0.06,0.13,0.09,0.11,0.09,0.12,0.1,0.11,0.09,0.11,0.11,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.11
7,7,189,7,7,45,0.08,0.12,0.07,0.15,0.07,0.13,0.06,0.13,0.08,0.14,0.06,0.13,0.01,0.01,0,0.02,0,0.01,0.01,0.01,0.01,0.01,0,0.02,0,0.07
10,2,276,3,21,0,0.34,0.16,0.11,0.13,0.13,0.11,0.07,0.12,0.12,0.11,0.11,0.13,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.12
3,18,78,1,10,30,0.11,0.11,0.11,0.14,0.1,0.12,0.11,0.12,0.11,0.11,0.08,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.13
7,26,208,5,11,45,1.99,1.1,1.81,1.53,1.18,1.71,1.28,1.28,1.58,1.37,1.54,1.16,1.48,0.79,1.39,1.23,0.93,1.43,1.02,1.02,1.33,1.1,1.32,0.93,0,1.53
8,8,221,4,1,0,0.11,0.13,0.1,0.11,0.1,0.07,0.12,0.11,0.1,0.11,0.1,0.12,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,0.11
9,11,255,3,1,15,0.08,0.12,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.11,0.11,0.08,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,1,0.1
6,4,156,2,21,0,0.1,0.09,0.12,0.1,0.1,0.09,0.12,0.09,0.1,0.1,0.11,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.1
3,16,76,6,8,30,0.11,0.1,0.1,0.11,0.11,0.11,0.09,0.1,0.12,0.11,0.13,0.15,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0.16
2,24,55,6,3,45,0.1,0.1,0.09,0.11,0.1,0.1,0.09,0.11,0.1,0.09,0.1,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.1
10,15,289,2,10,15,0.31,0.31,0.31,0.28,0.26,0.18,0.31,0.29,0.29,0.39,0.3,0.27,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.24
9,25,269,3,9,0,0.27,0.26,0.3,0.26,0.31,0.32,0.24,0.32,2.32,2.92,2.4,2.39,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,1.99,2.46,1.8,1.85,0,1.97
1,19,19,7,6,15,0.08,0.14,0.13,0.12,0.13,0.12,0.12,0.14,0.13,0.12,0.08,0.12,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.12
3,23,83,6,10,30,0.09,0.12,0.09,0.14,0.22,0.52,0.51,0.52,0.52,0.48,0.43,0.4,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.4
8,21,234,3,0,15,0.1,0.07,0.12,0.12,0.11,0.1,0.11,0.11,0.11,0.06,0.11,0.1,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,1,0.12
10,15,289,2,20,15,0.25,0.12,0.12,0.14,0.12,0.11,0.12,0.12,0.13,0.12,0.11,0.07,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.11
12,5,340,4,15,0,0.29,0.11,0.15,0.4,0.53,0.54,0.54,0.55,0.53,0.52,0.53,0.57,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.39
5,13,134,1,19,0,0.08,0.11,0.1,0.09,0.09,0.11,0.09,0.1,0.08,0.11,0.1,0.09,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.09
9,9,253,1,13,0,0.1,0.12,0.11,0.11,0.1,0.11,0.13,0.12,0.06,0.12,0.1,0.13,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.1
5,23,144,4,21,30,0.09,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.07,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.1
8,22,235,4,12,30,2.56,2.02,2.4,2.08,1.78,2.02,1.15,1.87,1.47,2.15,1.87,1.55,2.05,1.56,1.92,1.64,1.54,1.74,0.98,1.68,1.26,1.91,1.64,1.32,1,1.55
2,27,58,2,13,0,0.42,0.44,0.44,0.43,0.4,0.42,0.42,0.4,0.41,0.52,0.36,0.39,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.43
8,22,235,4,22,30,0.07,0.1,0.11,0.11,0.11,0.1,0.11,0.11,0.08,0.1,0.11,0.11,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,1,0.11
8,19,232,1,14,30,0.11,0.12,0.07,0.1,0.1,0.12,0.11,0.11,0.1,0.1,0.08,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,1,0.1
9,13,257,5,9,30,0.25,1.1,0.53,0.55,0.54,0.56,0.53,0.57,0.52,0.53,1.43,2.51,0.01,0.86,0.18,0.01,0.01,0.01,0,0.01,0.01,0.01,1.1,2.01,0,2.11
